name,latitude,longitude,Hotel_Name
Bloom in the Park,55.59064,12.99794,Hotell- & Restaurang Facket
SAV,55.53376,13.00537,Övralid
Golden Formosa,25.118216,121.53623,Royal Jade Boutique Hotel
Danny's Steakhouse,25.082657,121.552765,莎多堡奇幻旅館
L'Atelier de Joël Robuchon,25.039188,121.56771,Humble House Hotel
Kitcho,25.04429,121.55076000000001,敦化名邸
Tien Hsiang Lo,25.062696,121.529976,The Landis Taipei
Ya Ge,25.06625,121.52533000000001,IMPERIAL HOTEL TAIPEI
Da-Wan,25.043018,121.55018999999999,FIFI
Sushi Nomura,25.036179999999998,121.55465,An Ho Hotel
logy,25.035610000000002,121.55323,An Ho Hotel
Ming Fu,25.06171,121.52399,寶迦科技股份有限公司 夏爾分公司
Ken An Ho,25.034622,121.55281000000001,An Ho Hotel
Sushi Ryu,25.055832000000002,121.52723999999999,品中山
MUME,25.036266,121.54808999999999,二十輪旅店大安館 Swiio Hotel Daan
Impromptu by Paul Lee,25.054289999999998,121.524254,台北晶華酒店 Regent Taipei
Longtail,25.023922,121.54841,台電和平會館
Mountain and Sea House,25.038045999999998,121.53139499999999,仁沂
Da San Yuan,25.042248,121.512215,FOREST ME WORLD
Tainan Tan Tsu Mien Seafood,25.03799,121.4984,Ku Shan Yuan Hotel
Suan Thip,13.926962,100.502144,สวนทิพย์เจ้าพระยา คอนโดมิเนียม
Upstairs at Mikkeller,13.727946,100.58844,Baan Charoenmet
Chim by Siam Wisdom,13.740706,100.56789,Mona Suite Service Apartment - Sukhumvit31
R-Haan,13.731805,100.57972,Toomkosita Residence
Canvas,13.728886,100.580826,Somerset Sukhumvit Thonglor Bangkok
Bo.lan,13.726389000000001,100.57799,Volve Hotel Bangkok
Sra Bua by Kiin Kiin,13.754137,100.53451,เพชรุบุรีชอย10
Elements,13.742977999999999,100.54798000000001,kannika boonudom
Paste,13.744594000000001,100.540565,บริษัท เพรสิเด้นท์โฮเต็ลและทาวเวอร์ จำกัด
Ginza Sushi ichi,13.744069,100.54092,ไอยสรรค์ เรซิเดนท์เชียล สปา แอนด์ คลับ
